Vin_mVpp,10kHz,50kHz,100kHz,200kHz,300kHz,400kHz,500kHz
50,52.4,52.4,52.7,53.3,53.3,52.0,48.9
90,93.6,93.6,94.1,95.2,95.2,92.8,87.0
130,134.2,134.7,135.4,136.8,137.0,134.4,126.2
170,176.0,176.4,177.0,179.0,179.0,175.0,165.0
210,216.0,216.0,219.0,222.0,221.0,217.0,204.0
250,258.0,258.0,260.0,264.0,264.0,258.0,241.0
