Vin_mVpp,10kHz,50kHz,100kHz,200kHz,300kHz,400kHz,500kHz
50,1.0600,1.0600,1.0600,1.0680,1.0680,1.0800,1.0920
90,1.0422,1.0456,1.0467,1.0589,1.0622,1.0722,1.0822
130,1.0362,1.0400,1.0400,1.0523,1.0585,1.0646,1.0769
170,1.0329,1.0412,1.0418,1.0506,1.0600,1.0694,1.0765
210,1.0381,1.0381,1.0381,1.0571,1.0571,1.0667,1.0857
250,1.0360,1.0400,1.0440,1.0560,1.0560,1.0680,1.0760
