Vin_mVpp,10kHz,50kHz,100kHz,200kHz,300kHz,400kHz,500kHz
50,1.0460,1.0460,1.0460,1.0500,1.0500,1.0120,0.9300
90,1.0333,1.0333,1.0400,1.0467,1.0400,1.0067,0.9267
130,1.0292,1.0354,1.0415,1.0477,1.0415,0.9985,0.9262
170,1.0341,1.0341,1.0424,1.0476,1.0424,1.0035,0.9271
210,1.0333,1.0333,1.0333,1.0476,1.0333,1.0000,0.9248
250,1.0300,1.0320,1.0320,1.0480,1.0320,1.0000,0.9280
