Vin_mVpp,10kHz,50kHz,100kHz,200kHz,300kHz,400kHz,500kHz
50,53.0,53.0,53.0,53.4,53.4,54.0,54.6
90,93.8,94.1,94.2,95.3,95.6,96.5,97.4
130,134.7,135.2,135.2,136.8,137.6,138.4,140.0
170,175.6,177.0,177.1,178.6,180.2,181.8,183.0
210,218.0,218.0,218.0,222.0,222.0,224.0,228.0
250,259.0,260.0,261.0,264.0,264.0,267.0,269.0
