Vin_mVpp,10kHz,50kHz,100kHz,200kHz,300kHz,400kHz,500kHz
50,1.0480,1.0480,1.0540,1.0660,1.0660,1.0400,0.9780
90,1.0400,1.0400,1.0456,1.0578,1.0578,1.0311,0.9667
130,1.0323,1.0362,1.0415,1.0523,1.0538,1.0338,0.9708
170,1.0353,1.0376,1.0412,1.0529,1.0529,1.0294,0.9706
210,1.0286,1.0286,1.0429,1.0571,1.0524,1.0333,0.9714
250,1.0320,1.0320,1.0400,1.0560,1.0560,1.0320,0.9640
